Timestamp,Predicted_PM2.5,Predicted_PM10,Predicted_SO2,Predicted_CO,Predicted_Ozone,Predicted_AT
2028-03-19,30.032318,78.89339,7.90141,0.2548891,10.600853,27.92984
2028-03-20,29.930746,78.78485,7.904137,0.25492498,10.599156,27.935658
2028-03-21,29.833433,78.715645,7.906946,0.2549623,10.597567,27.948385
2028-03-22,29.740362,78.684296,7.9098353,0.25500104,10.596084,27.967571
2028-03-23,29.651499,78.68932,7.9128036,0.25504112,10.594706,27.992786
2028-03-24,29.566824,78.729256,7.91585,0.25508258,10.593435,28.02362
2028-03-25,29.48631,78.80266,7.918973,0.2551253,10.59227,28.05968
2028-03-26,29.409918,78.90807,7.9221716,0.25516936,10.591209,28.1006
2028-03-27,29.337624,79.04409,7.925444,0.25521466,10.590253,28.146029
2028-03-28,29.2694,79.20932,7.9287896,0.25526115,10.5894,28.195642
2028-03-29,29.205204,79.4024,7.9322057,0.25530887,10.588651,28.249142
2028-03-30,29.14501,79.62198,7.935692,0.25535774,10.588003,28.30624
2028-03-31,29.088783,79.866745,7.9392476,0.25540775,10.587457,28.366684
2028-04-01,30.944817,83.30626,7.8770003,0.25280407,10.659312,30.363367
2028-04-02,30.742052,82.28133,7.877597,0.25281328,10.655553,30.155874
2028-04-03,30.543642,81.31513,7.878293,0.25282437,10.651887,29.961948
2028-04-04,30.34959,80.40707,7.879091,0.25283727,10.648317,29.781624
2028-04-05,30.159903,79.55644,7.8799872,0.252852,10.644845,29.614876
2028-04-06,29.974577,78.76249,7.880982,0.2528685,10.64147,29.461613
2028-04-07,29.79362,78.02435,7.882074,0.25288677,10.638194,29.321682
2028-04-08,29.617027,77.3411,7.883262,0.25290677,10.635019,29.194862
2028-04-09,29.444794,76.711716,7.884545,0.25292847,10.631946,29.080889
2028-04-10,29.27692,76.135155,7.885921,0.25295183,10.628975,28.97944
2028-04-11,29.113394,75.61028,7.8873906,0.25297683,10.626107,28.89016
2028-04-12,28.954214,75.135895,7.8889513,0.25300345,10.6233425,28.812643
2028-04-13,28.799372,74.710785,7.8906026,0.2530316,10.620684,28.746462
2028-04-14,28.648857,74.33368,7.8923426,0.25306138,10.618129,28.691158
2028-04-15,28.502653,74.003265,7.8941703,0.25309262,10.615681,28.64626
